id,name,categories,price,weight
167fc2e1-d2ba-415b-998d-c3145d092576,Enchantimals Lorna Lamb Doll,Toys & Games | Dolls & Accessories | Playsets,8.13,3.2
483811d6-f319-4e68-b618-c1bb8e36db12,LeapFrog LeapStart Preschool Activity Book: Alphabet Adventures and Music,Toys & Games | Kids' Electronics | Electronic Learning Toys,12.3,7.0
44e558c6-f707-470f-8d4d-79a5267a8a78,"Redcat Racing Aluminum Wheels for Volcano Only (2 Piece), Purple",Toys & Games | Hobbies | Remote & App Controlled Vehicles & Parts | Remote & App Controlled Vehicle Parts | Wheels & Tires | Wheels,41.78,
6bfd07d3-4b46-47bc-887c-71bcf6f4801a,"Vallejo AFV German Dark Yellow Modulation Set, 8ml",,14.99,
b30c0580-9bcc-416a-a710-63d7d0d69d56,Lauri Alphabet Avalanche,Toys & Games | Learning & Education,19.8,1.1
fa93fcc6-be4d-40d8-ad3d-8bfa1e9ee2ab,Creativity for Kids 1846000 Creativity For Kids Holiday Snow globes - Makes 3 Christmas Snow globes for Kids (New Packaging),Toys & Games | Arts & Crafts | Craft Kits,19.99,1.04
00797bb8-140a-45f5-9c70-e2109dccde26,"CGSignLab |""Free Parking -Ghost Aged Brick"" Window Cling | 36""x24""",Home & Kitchen | Home Décor | Window Treatments | Window Stickers & Films | Window Films,83.99,13.3
a1cae215-6645-4112-bfbe-88ed6733c3a3,"Ingenuity Premium Soft Plush Ring Rattle - Sheppy The Sheep, Ages Newborn +",Toys & Games | Baby & Toddler Toys | Rattles & Plush Rings,36065.79,1.0
9b0d1117-14bf-434b-99d4-44359249dcd2,Ben 10 Hot Shot Action Figure,,12984.32,6.4
4c1e99fb-ef87-48c3-b36c-78ad0a1db8c5,First Act Discovery Frozen 2 Ukulele,Toys & Games | Learning & Education | Musical Instruments,24.99,1.3
